"Method","Error","Outcome"
"STW",0.0262079188793942,"Head
Flexion"
"STW",0.0259226217152995,"Head
Flexion"
"STW",0.0257183078697608,"Head
Flexion"
"STW",0.0255819650893676,"Head
Flexion"
"STW",0.0254963705721999,"Head
Flexion"
"STW",0.0254304166974483,"Head
Flexion"
"STW",0.0253433530314453,"Head
Flexion"
"STW",0.0251913573036388,"Head
Flexion"
"STW",0.0249486804450616,"Head
Flexion"
"STW",0.0246136184432147,"Head
Flexion"
"STW",0.0242153955969208,"Head
Flexion"
"STW",0.0238087288647337,"Head
Flexion"
"STW",0.0234658950311878,"Head
Flexion"
"STW",0.0232842568506312,"Head
Flexion"
"STW",0.023369664508261,"Head
Flexion"
"STW",0.0238362389468877,"Head
Flexion"
"STW",0.0247890853992415,"Head
Flexion"
"STW",0.0263239782999904,"Head
Flexion"
"STW",0.0285123965397525,"Head
Flexion"
"STW",0.0314020837389301,"Head
Flexion"
"STW",0.0350186717809065,"Head
Flexion"
"STW",0.0393624787149616,"Head
Flexion"
"STW",0.0443880902960893,"Head
Flexion"
"STW",0.0499952486011974,"Head
Flexion"
"STW",0.0560360189419303,"Head
Flexion"
"STW",0.0623266006041878,"Head
Flexion"
"STW",0.0686954576824522,"Head
Flexion"
"STW",0.0749470144384164,"Head
Flexion"
"STW",0.080899615388075,"Head
Flexion"
"CS",0.0267981596969842,"Head
Flexion"
"CS",0.0268703593608067,"Head
Flexion"
"CS",0.0269143877368462,"Head
Flexion"
"CS",0.0270370931993221,"Head
Flexion"
"CS",0.0273405243854416,"Head
Flexion"
"CS",0.0278934951121339,"Head
Flexion"
"CS",0.0287011853481778,"Head
Flexion"
"CS",0.0297198179774389,"Head
Flexion"
"CS",0.0308599921222623,"Head
Flexion"
"CS",0.0319989149860173,"Head
Flexion"
"CS",0.0330025455170102,"Head
Flexion"
"CS",0.0337382293234244,"Head
Flexion"
"CS",0.0341149674818258,"Head
Flexion"
"CS",0.0340864631285258,"Head
Flexion"
"CS",0.0336593698256308,"Head
Flexion"
"CS",0.0328852951975326,"Head
Flexion"
"CS",0.0318722902086667,"Head
Flexion"
"CS",0.0307397345092185,"Head
Flexion"
"CS",0.0295958657136684,"Head
Flexion"
"CS",0.0285220464683692,"Head
Flexion"
"CS",0.0275503662930699,"Head
Flexion"
"CS",0.026680097773894,"Head
Flexion"
"CS",0.025882906460023,"Head
Flexion"
"CS",0.0251187644077621,"Head
Flexion"
"CS",0.0243478046634629,"Head
Flexion"
"CS",0.0235527375841094,"Head
Flexion"
"CS",0.022732560859806,"Head
Flexion"
"CS",0.0218989590216504,"Head
Flexion"
"CS",0.0210774161397591,"Head
Flexion"
"CS",0.0202996047408481,"Head
Flexion"
"CS",0.0195900909040331,"Head
Flexion"
"CS",0.0189719223364227,"Head
Flexion"
"CS",0.0184608615377241,"Head
Flexion"
"CS",0.0180644493768973,"Head
Flexion"
"CS",0.0177794284237927,"Head
Flexion"
"CS",0.0175978650009651,"Head
Flexion"
"CS",0.0175088573618797,"Head
Flexion"
"CS",0.0175118391238157,"Head
Flexion"
"CS",0.017605436509268,"Head
Flexion"
"CS",0.0177858228418512,"Head
Flexion"
"CS",0.0180462881570288,"Head
Flexion"
"CS",0.018395793964985,"Head
Flexion"
"CS",0.0188402538495589,"Head
Flexion"
"CS",0.019391428184873,"Head
Flexion"
"CS",0.0200612542258845,"Head
Flexion"
"CS",0.0208611348347039,"Head
Flexion"
"CS",0.0218046495171027,"Head
Flexion"
"CS",0.0229022683050801,"Head
Flexion"
"CS",0.0241513922711945,"Head
Flexion"
"CS",0.0255623366351497,"Head
Flexion"
"CS",0.0271532213289451,"Head
Flexion"
"CS",0.0289349952341628,"Head
Flexion"
"CS",0.0309068602596216,"Head
Flexion"
"CS",0.0330113528418519,"Head
Flexion"
"CS",0.0351322211267897,"Head
Flexion"
"CS",0.0370979152791472,"Head
Flexion"
"CS",0.0387272916735338,"Head
Flexion"
"CS",0.0398614710437909,"Head
Flexion"
"CS",0.0404508559469349,"Head
Flexion"
"CS",0.0405547565364071,"Head
Flexion"
"CS",0.0402826731000037,"Head
Flexion"
"CS",0.0397591721805645,"Head
Flexion"
"CS",0.0390966259544534,"Head
Flexion"
"CS",0.0383716265760324,"Head
Flexion"
"CS",0.037631316283156,"Head
Flexion"
"CS",0.0368940977434481,"Head
Flexion"
"CS",0.0361676182765154,"Head
Flexion"
"CS",0.0354526836292097,"Head
Flexion"
"CS",0.034758197644615,"Head
Flexion"
"CS",0.03409890725591,"Head
Flexion"
"CS",0.033487167546943,"Head
Flexion"
"CS",0.0329434266483751,"Head
Flexion"
"CS",0.0324868994441659,"Head
Flexion"
"CS",0.0321332498347937,"Head
Flexion"
"CS",0.0318799857965758,"Head
Flexion"
"CS",0.0317109775588247,"Head
Flexion"
"CS",0.031604876021751,"Head
Flexion"
"CS",0.0315231206979125,"Head
Flexion"
"CS",0.0314151980288901,"Head
Flexion"
"CS",0.0312267866578247,"Head
Flexion"
"CS",0.03092596846823,"Head
Flexion"
"CS",0.0305106311952034,"Head
Flexion"
"CS",0.0300170007918982,"Head
Flexion"
"CS",0.0295129034890291,"Head
Flexion"
"CS",0.0290879323824377,"Head
Flexion"
"CS",0.0288627767209347,"Head
Flexion"
"CS",0.0289686466302377,"Head
Flexion"
"CS",0.029547004528146,"Head
Flexion"
"CS",0.030728137109634,"Head
Flexion"
"CS",0.0326307647677561,"Head
Flexion"
"CS",0.0353434915439445,"Head
Flexion"
"CS",0.0389254996347832,"Head
Flexion"
"CS",0.0434085618948759,"Head
Flexion"
"CS",0.0487930725740635,"Head
Flexion"
"CS",0.0550227369294779,"Head
Flexion"
"CS",0.0619732769118402,"Head
Flexion"
"CS",0.0694613151470353,"Head
Flexion"
"CS",0.0772590153321914,"Head
Flexion"
"CS",0.085153744418955,"Head
Flexion"
"CS",0.0929030699806788,"Head
Flexion"
"CS",0.100281814908365,"Head
Flexion"
"Nested ANOVA",0.0267981596969886,"Head
Flexion"
"Nested ANOVA",0.0268703593608069,"Head
Flexion"
"Nested ANOVA",0.0269143877368419,"Head
Flexion"
"Nested ANOVA",0.0270370931993169,"Head
Flexion"
"Nested ANOVA",0.0273405243854466,"Head
Flexion"
"Nested ANOVA",0.0278934951121366,"Head
Flexion"
"Nested ANOVA",0.0287011853481794,"Head
Flexion"
"Nested ANOVA",0.0297198179774433,"Head
Flexion"
"Nested ANOVA",0.0308599921222624,"Head
Flexion"
"Nested ANOVA",0.0319989149860186,"Head
Flexion"
"Nested ANOVA",0.0330025455170166,"Head
Flexion"
"Nested ANOVA",0.0337382293234249,"Head
Flexion"
"Nested ANOVA",0.0341149674818283,"Head
Flexion"
"Nested ANOVA",0.0340864631285249,"Head
Flexion"
"Nested ANOVA",0.0336593698256246,"Head
Flexion"
"Nested ANOVA",0.0328852951975275,"Head
Flexion"
"Nested ANOVA",0.0318722902086686,"Head
Flexion"
"Nested ANOVA",0.030739734509217,"Head
Flexion"
"Nested ANOVA",0.0295958657136722,"Head
Flexion"
"Nested ANOVA",0.0285220464683608,"Head
Flexion"
"Nested ANOVA",0.0275503662930728,"Head
Flexion"
"Nested ANOVA",0.0266800977738936,"Head
Flexion"
"Nested ANOVA",0.0258829064600275,"Head
Flexion"
"Nested ANOVA",0.0251187644077625,"Head
Flexion"
"Nested ANOVA",0.0243478046634676,"Head
Flexion"
"Nested ANOVA",0.0235527375841075,"Head
Flexion"
"Nested ANOVA",0.0227325608598127,"Head
Flexion"
"Nested ANOVA",0.0218989590216458,"Head
Flexion"
"Nested ANOVA",0.0210774161397612,"Head
Flexion"
"Nested ANOVA",0.0202996047408469,"Head
Flexion"
"Nested ANOVA",0.0195900909040338,"Head
Flexion"
"Nested ANOVA",0.0189719223364209,"Head
Flexion"
"Nested ANOVA",0.018460861537724,"Head
Flexion"
"Nested ANOVA",0.0180644493768963,"Head
Flexion"
"Nested ANOVA",0.0177794284237928,"Head
Flexion"
"Nested ANOVA",0.0175978650009632,"Head
Flexion"
"Nested ANOVA",0.0175088573618758,"Head
Flexion"
"Nested ANOVA",0.0175118391238135,"Head
Flexion"
"Nested ANOVA",0.0176054365092667,"Head
Flexion"
"Nested ANOVA",0.0177858228418537,"Head
Flexion"
"Nested ANOVA",0.0180462881570287,"Head
Flexion"
"Nested ANOVA",0.0183957939649864,"Head
Flexion"
"Nested ANOVA",0.01884025384956,"Head
Flexion"
"Nested ANOVA",0.019391428184873,"Head
Flexion"
"Nested ANOVA",0.0200612542258881,"Head
Flexion"
"Nested ANOVA",0.0208611348347035,"Head
Flexion"
"Nested ANOVA",0.0218046495171003,"Head
Flexion"
"Nested ANOVA",0.0229022683050794,"Head
Flexion"
"Nested ANOVA",0.0241513922711951,"Head
Flexion"
"Nested ANOVA",0.0255623366351517,"Head
Flexion"
"Nested ANOVA",0.0271532213289492,"Head
Flexion"
"Nested ANOVA",0.0289349952341584,"Head
Flexion"
"Nested ANOVA",0.030906860259621,"Head
Flexion"
"Nested ANOVA",0.033011352841849,"Head
Flexion"
"Nested ANOVA",0.0351322211267939,"Head
Flexion"
"Nested ANOVA",0.037097915279146,"Head
Flexion"
"Nested ANOVA",0.0387272916735335,"Head
Flexion"
"Nested ANOVA",0.0398614710437925,"Head
Flexion"
"Nested ANOVA",0.0404508559469348,"Head
Flexion"
"Nested ANOVA",0.0405547565364133,"Head
Flexion"
"Nested ANOVA",0.0402826731000007,"Head
Flexion"
"Nested ANOVA",0.0397591721805653,"Head
Flexion"
"Nested ANOVA",0.0390966259544527,"Head
Flexion"
"Nested ANOVA",0.0383716265760312,"Head
Flexion"
"Nested ANOVA",0.0376313162831578,"Head
Flexion"
"Nested ANOVA",0.0368940977434478,"Head
Flexion"
"Nested ANOVA",0.0361676182765155,"Head
Flexion"
"Nested ANOVA",0.0354526836292067,"Head
Flexion"
"Nested ANOVA",0.0347581976446142,"Head
Flexion"
"Nested ANOVA",0.0340989072559126,"Head
Flexion"
"Nested ANOVA",0.033487167546942,"Head
Flexion"
"Nested ANOVA",0.032943426648376,"Head
Flexion"
"Nested ANOVA",0.0324868994441653,"Head
Flexion"
"Nested ANOVA",0.0321332498347958,"Head
Flexion"
"Nested ANOVA",0.0318799857965774,"Head
Flexion"
"Nested ANOVA",0.0317109775588259,"Head
Flexion"
"Nested ANOVA",0.0316048760217457,"Head
Flexion"
"Nested ANOVA",0.0315231206979109,"Head
Flexion"
"Nested ANOVA",0.0314151980288858,"Head
Flexion"
"Nested ANOVA",0.0312267866578244,"Head
Flexion"
"Nested ANOVA",0.0309259684682338,"Head
Flexion"
"Nested ANOVA",0.0305106311952135,"Head
Flexion"
"Nested ANOVA",0.0300170007918974,"Head
Flexion"
"Nested ANOVA",0.0295129034890217,"Head
Flexion"
"Nested ANOVA",0.0290879323824331,"Head
Flexion"
"Nested ANOVA",0.0288627767209331,"Head
Flexion"
"Nested ANOVA",0.0289686466302284,"Head
Flexion"
"Nested ANOVA",0.0295470045281498,"Head
Flexion"
"Nested ANOVA",0.0307281371096323,"Head
Flexion"
"Nested ANOVA",0.0326307647677512,"Head
Flexion"
"Nested ANOVA",0.0353434915439497,"Head
Flexion"
"Nested ANOVA",0.0389254996347774,"Head
Flexion"
"Nested ANOVA",0.0434085618948713,"Head
Flexion"
"Nested ANOVA",0.0487930725740677,"Head
Flexion"
"Nested ANOVA",0.0550227369294737,"Head
Flexion"
"Nested ANOVA",0.0619732769118498,"Head
Flexion"
"Nested ANOVA",0.0694613151470332,"Head
Flexion"
"Nested ANOVA",0.0772590153321905,"Head
Flexion"
"Nested ANOVA",0.0851537444189591,"Head
Flexion"
"Nested ANOVA",0.0929030699806574,"Head
Flexion"
"Nested ANOVA",0.100281814908343,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0252952001084266,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0255590542001252,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0258762281505933,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.026322170200667,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0269292003443008,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0277842752679078,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0288936006431913,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.030187868974222,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0315668174435665,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0329112937841051,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0340745421818539,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0349165151623204,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0353520389606263,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0353472641262693,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0349376031793602,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0342052258498223,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0332689685750852,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0322457171339824,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0312287623202771,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0302693307160964,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0293763066173734,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0285429358263373,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0277509324434764,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.026982927362719,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0262261401140695,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0254809425577751,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0247496261293628,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0240373115227362,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0233552691447611,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0227148021048103,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0221235155156433,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0215823613827699,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.021084284436604,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0206200051622359,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0201777469474675,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0197511622914898,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0193378457117124,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0189462753882462,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0185934760840518,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0182956790792346,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.01806830591814,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.017935499290623,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.017913231715779,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.018015894869305,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.018255744505749,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0186499227390986,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0192157138130756,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0199765518447664,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0209502804525796,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0221722225400924,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0236927585124814,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0255506437407516,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.027754957983066,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0302221138602498,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0327681135076103,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0351482113230882,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0371054311216075,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.038415568395493,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0389979354576553,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0389160416527771,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0383110216016712,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0373522999450423,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0361879786369512,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0349148634167815,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0336149415027728,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0323479198018095,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0311647583933279,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0301122473783163,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0292423550997894,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0286083536403113,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0282453608282377,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0281711661331838,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0283681470321971,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0287979119236622,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0293899925614449,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0300609332664262,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0307313808073479,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0313073002122235,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0317010297358262,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0318349959319863,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0316677744372972,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.031198104285751,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0304719741103881,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0295771429833132,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0286255477364839,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0277695956701246,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0271643344711809,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0269708112117414,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0273257783994919,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0283518169488053,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0301369121915053,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0327356046515436,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.036179667251205,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0404798307108652,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0456054528244342,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0514563891712672,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0578495365109669,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0645812878253675,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0714290071143521,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0781526826376954,"Head
Flexion"
"Cross-sectional ANOVA (Random)",0.0845849097430178,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0252952001084266,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0255590542001252,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0258762281505933,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.026322170200667,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0269292003443008,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0277842752679078,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0288936006431913,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.030187868974222,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0315668174435665,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0329112937841051,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0340745421818539,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0349165151623204,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0353520389606263,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0353472641262693,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0349376031793602,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0342052258498223,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0332689685750852,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0322457171339824,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0312287623202771,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0302693307160964,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0293763066173734,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0285429358263373,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0277509324434764,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.026982927362719,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0262261401140695,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0254809425577751,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0247496261293628,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0240373115227362,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0233552691447611,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0227148021048103,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0221235155156433,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0215823613827699,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.021084284436604,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0206200051622359,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0201777469474675,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0197511622914898,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0193378457117124,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0189462753882462,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0185934760840518,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0182956790792346,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.01806830591814,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.017935499290623,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.017913231715779,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.018015894869305,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.018255744505749,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0186499227390986,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0192157138130756,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0199765518447664,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0209502804525796,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0221722225400924,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0236927585124814,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0255506437407516,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.027754957983066,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0302221138602498,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0327681135076103,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0351482113230882,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0371054311216075,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.038415568395493,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0389979354576553,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0389160416527771,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0383110216016712,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0373522999450423,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0361879786369512,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0349148634167815,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0336149415027728,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0323479198018095,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0311647583933279,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0301122473783163,"Head
Flexion"
"Cross-sectional ANOVA (Fixed)",0.0292423550997894,"Head
Flexion"
