"Method","Outcomes","Error"
"Cross-sectional ANOVA (Random)","Hip
Moments
Int
Ext",1.37348338596872e-07
"Cross-sectional ANOVA (Fixed)","Hip
Moments
Int
Ext",1.37348338596872e-07
"STW","Knee
Ad
Ab",0.00136152874564218
"CS","Knee
Ad
Ab",0.00168772834095229
"Nested ANOVA","Knee
Ad
Ab",0.00168772834095227
"Cross-sectional ANOVA (Random)","Knee
Ad
Ab",0.00155305423167988
"Cross-sectional ANOVA (Fixed)","Knee
Ad
Ab",0.00155305423167988
"STW","Knee
Flexion",0.0819539849084386
"CS","Knee
Flexion",0.1015887937926
"Nested ANOVA","Knee
Flexion",0.101588793792599
"Cross-sectional ANOVA (Random)","Knee
Flexion",0.0690445270017383
"Cross-sectional ANOVA (Fixed)","Knee
Flexion",0.0690445270017383
"STW","Knee
Int
Ext",0.00455829060261153
"CS","Knee
Int
Ext",0.0056503810594639
"Nested ANOVA","Knee
Int
Ext",0.00565038105946447
"Cross-sectional ANOVA (Random)","Knee
Int
Ext",0.00454063062906062
"Cross-sectional ANOVA (Fixed)","Knee
Int
Ext",0.00454063062906062
"STW","Knee
Moments
Ad
Ab",3.78265619838853e-06
"CS","Knee
Moments
Ad
Ab",4.68891757925268e-06
"Nested ANOVA","Knee
Moments
Ad
Ab",4.68891757925276e-06
"Cross-sectional ANOVA (Random)","Knee
Moments
Ad
Ab",3.01299564726538e-06
"Cross-sectional ANOVA (Fixed)","Knee
Moments
Ad
Ab",3.01299564726538e-06
"STW","Knee
Moments
Flexion",1.49899867498731e-05
"CS","Knee
Moments
Flexion",1.85813377420308e-05
"Nested ANOVA","Knee
Moments
Flexion",1.85813377420307e-05
"Cross-sectional ANOVA (Random)","Knee
Moments
Flexion",1.32540437441456e-05
"Cross-sectional ANOVA (Fixed)","Knee
Moments
Flexion",1.32540437441456e-05
"STW","Knee
Moments
Int
Ext",1.09333140870697e-07
"CS","Knee
Moments
Int
Ext",1.35527539204309e-07
"Nested ANOVA","Knee
Moments
Int
Ext",1.35527539204312e-07
"Cross-sectional ANOVA (Random)","Knee
Moments
Int
Ext",6.4467260802004e-08
"Cross-sectional ANOVA (Fixed)","Knee
Moments
Int
Ext",6.4467260802004e-08
"STW","Pelvis
Obilquity",0.00831521466963174
"CS","Pelvis
Obilquity",0.0103074015175651
"Nested ANOVA","Pelvis
Obilquity",0.0103074015175657
"Cross-sectional ANOVA (Random)","Pelvis
Obilquity",0.00614839035324508
"Cross-sectional ANOVA (Fixed)","Pelvis
Obilquity",0.00614839035324508
"STW","Pelvis
Rotation",0.0115907058821154
"CS","Pelvis
Rotation",0.014367645833028
"Nested ANOVA","Pelvis
Rotation",0.0143676458330275
"Cross-sectional ANOVA (Random)","Pelvis
Rotation",0.0135296670080509
"Cross-sectional ANOVA (Fixed)","Pelvis
Rotation",0.0135296670080509
"STW","Pelvis
Tilt",0.00816907143752053
"CS","Pelvis
Tilt",0.0101262448027836
"Nested ANOVA","Pelvis
Tilt",0.0101262448027834
"Cross-sectional ANOVA (Random)","Pelvis
Tilt",0.00885529082442458
"Cross-sectional ANOVA (Fixed)","Pelvis
Tilt",0.00885529082442458
"STW","Trunk
Ad
Ab",0.0463282888054009
"CS","Trunk
Ad
Ab",0.0574277746650265
"Nested ANOVA","Trunk
Ad
Ab",0.0574277746650284
"Cross-sectional ANOVA (Random)","Trunk
Ad
Ab",0.0300366297237765
"Cross-sectional ANOVA (Fixed)","Trunk
Ad
Ab",0.0300366297237765
"STW","Trunk
Flexion",0.0135173733838183
"CS","Trunk
Flexion",0.0167559107570007
"Nested ANOVA","Trunk
Flexion",0.0167559107570011
"Cross-sectional ANOVA (Random)","Trunk
Flexion",0.0142222584863736
"Cross-sectional ANOVA (Fixed)","Trunk
Flexion",0.0142222584863736
"STW","Trunk
Int
Ext",0.12857110628617
"CS","Trunk
Int
Ext",0.15937460050057
"Nested ANOVA","Trunk
Int
Ext",0.159374600500575
"Cross-sectional ANOVA (Random)","Trunk
Int
Ext",0.0735791673021198
"Cross-sectional ANOVA (Fixed)","Trunk
Int
Ext",0.0735791673021198
